,,Bee,Bee,Bee,Bee,NoBee,NoBee,NoBee,NoBee,macro avg,macro avg,macro avg,macro avg,weighted avg,weighted avg,weighted avg,weighted avg,model_name
,accuracy,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,
0,0.73,0.69,0.808,0.603,15656.0,0.76,0.683,0.857,15656.0,0.725,0.746,0.73,31312.0,0.725,0.746,0.73,31312.0,End2End_Gammaton
1,0.655,0.502,0.905,0.348,15656.0,0.737,0.596,0.963,15656.0,0.619,0.75,0.655,31312.0,0.619,0.75,0.655,31312.0,End2End_Gammaton_FineTuned
2,0.795,0.768,0.885,0.678,15656.0,0.816,0.739,0.912,15656.0,0.792,0.812,0.795,31312.0,0.792,0.812,0.795,31312.0,End2End_Gammaton_Frozen
3,0.779,0.752,0.859,0.668,15656.0,0.801,0.728,0.89,15656.0,0.776,0.794,0.779,31312.0,0.776,0.794,0.779,31312.0,End2End_Gammaton_Frozen_NoisyBee_excluded
4,0.78,0.748,0.874,0.653,15656.0,0.804,0.723,0.906,15656.0,0.776,0.799,0.78,31312.0,0.776,0.799,0.78,31312.0,End2End_Gammaton_Frozen_NoisyBee_excluded_Augmented
5,0.739,0.707,0.807,0.629,15656.0,0.765,0.696,0.85,15656.0,0.736,0.752,0.739,31312.0,0.736,0.752,0.739,31312.0,End2End_Simple
6,0.761,0.746,0.797,0.701,15656.0,0.775,0.733,0.821,15656.0,0.76,0.765,0.761,31312.0,0.76,0.765,0.761,31312.0,End2End_Simple_3khzBP
