,,Bee,Bee,Bee,Bee,NoBee,NoBee,NoBee,NoBee,macro avg,macro avg,macro avg,macro avg,weighted avg,weighted avg,weighted avg,weighted avg,method
,accuracy,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,
0,0.677,0.694,0.659,0.733,15656.0,0.658,0.699,0.621,15656.0,0.676,0.679,0.677,31312.0,0.676,0.679,0.677,31312.0,KNN
1,0.731,0.728,0.737,0.72,15656.0,0.735,0.726,0.743,15656.0,0.731,0.732,0.731,31312.0,0.731,0.732,0.731,31312.0,SVC
2,0.733,0.708,0.782,0.647,15656.0,0.755,0.699,0.82,15656.0,0.731,0.741,0.733,31312.0,0.731,0.741,0.733,31312.0,RandomForest
3,0.731,0.706,0.778,0.646,15656.0,0.752,0.697,0.815,15656.0,0.729,0.738,0.731,31312.0,0.729,0.738,0.731,31312.0,ExtraTrees
4,0.734,0.728,0.745,0.712,15656.0,0.74,0.724,0.757,15656.0,0.734,0.735,0.734,31312.0,0.734,0.735,0.734,31312.0,GradientBoosting
5,0.714,0.714,0.715,0.714,15656.0,0.714,0.714,0.715,15656.0,0.714,0.714,0.714,31312.0,0.714,0.714,0.714,31312.0,LogisticRegression
6,0.434,0.52,0.451,0.614,15656.0,0.309,0.396,0.254,15656.0,0.415,0.424,0.434,31312.0,0.415,0.424,0.434,31312.0,KMeans
7,0.653,0.604,0.703,0.53,15656.0,0.691,0.623,0.776,15656.0,0.647,0.663,0.653,31312.0,0.647,0.663,0.653,31312.0,NN
