,,Bee,Bee,Bee,Bee,NoBee,NoBee,NoBee,NoBee,macro avg,macro avg,macro avg,macro avg,weighted avg,weighted avg,weighted avg,weighted avg,model_name
,accuracy,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,
0,0.609,0.514,0.678,0.414,5529.0,0.673,0.578,0.804,5529.0,0.593,0.628,0.609,11058.0,0.593,0.628,0.609,11058.0,End2End_Gammaton
1,0.611,0.522,0.678,0.424,5529.0,0.673,0.581,0.799,5529.0,0.597,0.63,0.611,11058.0,0.597,0.63,0.611,11058.0,End2End_Gammaton_FineTuned
2,0.6,0.473,0.692,0.359,5529.0,0.677,0.567,0.84,5529.0,0.575,0.63,0.6,11058.0,0.575,0.63,0.6,11058.0,End2End_Gammaton_Frozen
3,0.576,0.452,0.639,0.349,5529.0,0.654,0.552,0.802,5529.0,0.553,0.596,0.576,11058.0,0.553,0.596,0.576,11058.0,End2End_Gammaton_Frozen_NoisyBee_excluded
4,0.563,0.385,0.648,0.274,5529.0,0.661,0.54,0.851,5529.0,0.523,0.594,0.563,11058.0,0.523,0.594,0.563,11058.0,End2End_Gammaton_Frozen_NoisyBee_excluded_Augmented
5,0.585,0.415,0.702,0.294,5529.0,0.678,0.554,0.875,5529.0,0.547,0.628,0.585,11058.0,0.547,0.628,0.585,11058.0,End2End_Simple
6,0.575,0.381,0.701,0.261,5529.0,0.676,0.546,0.889,5529.0,0.529,0.624,0.575,11058.0,0.529,0.624,0.575,11058.0,End2End_Simple_3khzBP
